URI,Label,Source,EATS ID,Hidden Label,Note,Variant 0,variant 1,variant 2,variant 3,variant 4,variant 5,,,,,,,,,,,,,,,
 ,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
 ,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
" = at odds with CWRC entity, needs discussion",,IoC,,,,,,,,,,,,,,,,,,,,,,,,
" = new, not in CWRC Occupation Entities",,IoC,,,,,,,,,,,,,,,,,,,,,,,,
" = potential confusion, needs discussion ",,IoC,,,,,,,,,,,,,,,,,,,,,,,,
animalKeeper,animal keeper,IoC,?,marmoset (monkeys),,animal keeper,baboon keeper,bird keeper,crow keeper,lionkeeper,dog keeper, ,,,,,,,,,,,,,,
armorer,armorer,IoC,,,,armorer,,,,,,,,,,,,,,,,,,,,
attorneyGeneral,attorney general,IoC,,,,attorney-general,,,,,,,,,,,,,,,,,,,,
baker,baker,IoC,,,,baker,,,,,,,,,,,,,,,,,,,,
beggar,beggar,IoC,,,,beggar,,,,,,,,,,,,,,,,,,,,
brewer,brewer,IoC,,,,brewer,,,,,,,,,,,,,,,,,,,,
censor,censor,IoC,,,,censor,,,,,,,,,,,,,,,,,,,,
chandler,chandler,IoC,,,,chandler,wax chandler,,,,,,,,,,,,,,,,,,,
clericalWork,clerical work,IoC,,,,scrivener,,,,,,,,,,,,,,,,,,,,
clothingProduction,clothing production,IoC,,,,lace-maker,,,,,,,,,,,,,,,,,,,,
coachmaker,coachmaker,IoC,,,,coachmaker,,,,,,,,,,,,,,,,,,,,
cobbler,cobbler,IoC,,,,cordwainer,,,,,,,,,,,,,,,,,,,,
composer,composer,IoC,,,,composer,,,,,,,,,,,,,,,,,,,,
construction,construction,IoC,,,,carpenter,joiner,,,,,,,,,,,,,,,,,,,
cooking,cooking,IoC,,,,cook,,,,,,,,,,,,,,,,,,,,
dance,dance,IoC,,,,dancer,,,,,,,,,,,,,,,,,,,,
deliveryPerson,delivery person,IoC,,,,messenger,,,,,,,,,,,,,,,,,,,,
diplomat,diplomat,IoC,,,,ambassador,consul,,,,,,,,,,,,,,,,,,,
domesticServant,domestic servant,IoC,,,,chambermaid,,,,,,,,,,,,,,,,,,,,
draper,draper,IoC,,,,draper,linen-draper,,,,,,,,,,,,,,,,,,,
dressmaking,dressmaking,IoC,,,,silkwoman ,,,,,,,,,,,,,,,,,,,,
equineActivity,equine activity,IoC,,,,horseman,jockey,ostler,,,,,,,,,,,,,,,,,,
gardener,gardener,IoC,,,,gardener,,,,,,,,,,,,,,,,,,,,
haberdasher,haberdasher,IoC,,,,haberdasher,,,,,,,,,,,,,,,,,,,,
higherGovernment,higher government,,,lord lieutenant (of Ireland),,lord of the council,lord privy seal,lord steward,lord treasurer,privy councillor,warden,,,,,,,,,,,,,,,
housekeeper,housekeeper,IoC,,,,housekeeper,,,,,,,,,,,,,,,,,,,,
innsOfCourtOfficial,inns of court official,IoC,,,,officer,panier man,reader,steward,,,,,,,,,,,,,,,,,
judge,judge,IoC,,lord chief justice (Star Chamber),,judge,lord chief justice,lord chief baron,,,,,,,,,,,,,,,,,,
knight,knight,IoC,,,,knight,,,,,,,,,,,,,,,,,,,,
lawEnforcement,law enforcement,,,sheriff (of London),,constable,escheator,serjeant,justice,watchman,,,,,,,,,,,,,,,,
lawyer,lawyer,IoC,,ancient,,barrister,bencher,inner-barrister,,,,,,,,,,,,,,,,,,
leatherWorker,leather worker,IoC,,,,saddler,,,,,,,,,,,,,,,,,,,,
legalWork,legal work,,,receiver of accounts|collector of accounts|stewards of accounts|keepers of the black books|master of chanceries|master recorder|,,clerk,guardian of signs,butler,collector,comptroller,pensioner,recorder,governor,marshall,auditor,,,,, , , , , , , 
localGoverment,local goverment,IoC,,,,alderman,,,,,,,,,,,,,,,,,,,,
lordChamberlain,lord chamberlain,IoC,,,,lord chamberlain,,,,,,,,,,,,,,,,,,,,
lordChancellor,lord chancellor,IoC,,,,lord chancellor,,,,,,,,,,,,,,,,,,,,
manservant,manservant ,IoC,,,,footman,servingman,servant,page,porter,,,,,,,,,,,,,,,,
manualLabourer,manual labourer,IoC,,,,labourer,torchbearer,,,,,,,,,,,,,,,,,,,
masterOfTheRevels,master of the revels,IoC,,master of revels (Christmas king)|master of revels (Christmas lords/princes),,lietuenant master of revels,,,,,,,,,,,,,,,,,,,,
matlayer,matlayer,,,,,matlayer,,,,,,,,,,,,,,,,,,,,
mayor,mayor,IoC,,mayor (of London),,,,,,,,,,,,,,,,,,,,,,
mercer,mercer,IoC,,,,mercer,,,,,,,,,,,,,,,,,,,,
metalWork,metal work,IoC,,,,pewterer,,,,,,,,,,,,,,,,,,,,
military,military,IoC,,,,soldier,,,,,,,,,,,,,,,,,,,,
music,music,IoC,,lutenist|shawm player,,bagpiper,drummer,fiddler,harper,horn player,lute player,trumpeter,piper,wait,,,,,,,,,,,,
music,music,IoC,,,,taborer,,,,,,,,,,,,,,,,,,,,
needlework,needlework,IoC,,,,embroiderer,,,,,,,,,,,,,,,,,,,,
pavier,pavier,IoC,,,,pavier,,,,,,,,,,,,,,,,,,,,
performer,performer,IoC,,player,,antimasquer,boy player,entertainer,fencer,fool,juggler,masquer,morris dancer,mummer,minstrel,,puppeteer,tumbler,,,,,,,,
printing,printing,IoC,,,,printer,,,,,,,,,,,,,,,,,,,,
religiousOfficial,religious official,IoC,,,,archbishop,bishop,cardinal,chaplain,preacher,priest,,,,,,,,,,,,,,,
reveller,reveller,IoC,,,"skos:related masterOfTheRevels
skos:related theatricalWork",reveller,,,,,,,,,,,,,,,,,,,,
sailor,sailor,IoC,,,,seaman,waterman,,,,,,,,,,,,,,,,,,,
salter,salter,,,,,salter,,,,,,,,,,,,,,,,,,,,
singer,singer,IoC,,,,singer,,,,,,,,,,,,,,,,,,,,
stringer,stringer,IoC,,,,stringer,,,,,,,,,,,,,,,,,,,,
suttler,suttler,IoC,,,,suttler,,,,,,,,,,,,,,,,,,,,
tailor,tailor,IoC,,,,tailor,,,,,,,,,,,,,,,,,,,,
theatreWork,theatre work,IoC,,,,vizard maker,usher,property man,,,,,,,,,,,,,,,,,,
transportationWork ,transportation work,IoC,,,,charioteer,coachman,,,,,,,,,,,,,,,,,,,
treasurer,,,,,skos:broaderTerm legalWork,treasurer,sub-treasurer,,,,,,,,,,,,,,,,,,,
vintner,vintner,IoC,,,,vintner,,,,,,,,,,,,,,,,,,,,
visualArtist,visual artist,IoC,,,,painter,,,,,,,,,,,,,,,,,,,,
writer,writer,IoC,,,,playwright,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
,,IoC,,,,,,,,,,,,,,,,,,,,,,,,
